	17-AAG	AEW541	AZD0530	AZD6244	Erlotinib	Irinotecan	L-685458	Lapatinib	LBW242	Nilotinib	Nutlin-3	Paclitaxel	Panobinostat	PD-0325901	PD-0332991	PF2341066	PHA-665752	PLX4720	RAF265	Sorafenib	TAE684	TKI258	Topotecan	ZD-6474
1321N1_CENTRAL_NERVOUS_SYSTEM	0.193676725	8.717773588	0.59863168	NaN	0.783196032	NaN	1.143991709	1.240993977	NaN	NaN	NaN	NaN	0.060533781	8.324543571	NaN	7.235623837	NaN	NaN	0.179582372	NaN	3.58612299	8.73090869	0.154171005	2.834900141
22RV1_PROSTATE	0.267214537	8.165163646	NaN	0.002542614	NaN	0.078334875	NaN	8.40245823	NaN	NaN	7.660392761	0.002542614	0.027810322	0.002542614	1.220477104	3.142666101	2.53306222	0.983415067	8.752347289	6.954375267	1.296006083	9.014531131	0.087474808	NaN
42MGBA_CENTRAL_NERVOUS_SYSTEM	0.052080587	1.514508486	8.619237044	NaN	1.58300364	NaN	2.518679857	NaN	NaN	NaN	NaN	NaN	0.0543386	8.754744328	NaN	NaN	NaN	NaN	NaN	NaN	2.980663776	NaN	0.039199714	NaN
5637_URINARY_TRACT	0.060907152	8.006595166	2.464420795	2.747059107	8.323013746	0.067720294	5.683910847	1.811544776	2.063686132	8.104518587	NaN	0.002542614	0.049132336	8.767333126	NaN	3.419522524	NaN	2.666912317	0.209953845	7.126125336	2.781574488	8.54903825	0.166810349	2.656301498
639V_URINARY_TRACT	0.147929892	0.931195736	0.098134629	0.13161619	NaN	0.06766881	NaN	NaN	NaN	6.535492897	NaN	0.00807147	0.042552181	0.032919586	8.630770133	8.761174437	NaN	NaN	2.480028868	NaN	1.912146091	3.713824034	0.042009655	0.703420281
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.378334939	8.700654505	3.030215025	NaN	8.536011501	0.035028514	0.313795686	NaN	NaN	0.793680906	1.931174517	NaN	0.01080374	0.029988743	0.510099769	2.841043949	3.420485258	NaN	0.149574935	6.953055382	1.480177522	0.686500669	0.03176076	8.711223009
769P_KIDNEY	0.12979719	0.306242794	1.206146479	1.876256108	8.234050367	0.70194459	NaN	0.435292333	NaN	2.511436701	3.253212929	0.413531601	0.073680386	8.204220052	8.540805344	7.02981329	7.583794117	8.264207248	0.5088287	NaN	8.207641333	8.603204735	0.529701352	1.545570254
786O_KIDNEY	0.280528814	5.267667294	2.921969891	NaN	8.381701337	0.176553965	NaN	8.749792573	NaN	8.565154598	NaN	0.211432382	0.215351701	NaN	NaN	NaN	7.68282795	NaN	0.396326691	6.876547337	8.02610313	2.520377398	0.056923565	NaN
8305C_THYROID	0.244567513	8.520771485	1.489487052	0.108338751	4.118249416	0.402237684	8.07438487	8.374241953	NaN	NaN	NaN	0.002542614	0.047671352	0.010539235	0.575818241	8.447451893	NaN	3.316851616	0.498396903	3.127674103	1.63229394	8.669612038	0.11459057	NaN
8505C_THYROID	0.28396824	1.846689939	NaN	0.232873708	NaN	0.118262023	NaN	8.2541076	NaN	8.214055728	NaN	0.01558148	0.064984627	0.002542614	NaN	7.526344299	NaN	2.197942019	1.4708606	6.152579784	8.229923852	8.485849565	0.087170333	NaN
